cctv_id,detected_time,person_label,gender,age
,2025-02-04 14:51:19,1,female,adult
,2025-02-04 14:51:20,2,male,old
,2025-02-04 14:51:22,4,female,adult
,2025-02-04 14:51:23,5,female,adult
,2025-02-04 14:51:25,7,female,adult
,2025-02-04 14:52:43,1,female,adult
,2025-02-04 14:52:44,2,male,old
,2025-02-04 14:52:45,4,female,adult
,2025-02-04 14:52:47,5,female,adult
,2025-02-04 14:52:49,7,female,adult
,2025-02-04 14:52:52,9,male,adult
,2025-02-04 14:52:53,10,female,adult
,2025-02-04 14:53:34,1,female,adult
,2025-02-04 14:53:35,2,male,old
,2025-02-04 14:53:36,4,female,adult
,2025-02-04 15:17:31,1,male,adult
,2025-02-04 15:17:32,2,male,old
,2025-02-04 15:17:33,3,female,adult
,2025-02-04 15:17:34,4,male,adult
,2025-02-04 15:17:35,5,male,adult
,2025-02-04 15:17:36,6,male,adult
,2025-02-04 15:17:38,7,male,adult
,2025-02-04 15:17:39,8,female,adult
,2025-02-04 15:17:41,10,female,adult
,2025-02-04 15:17:42,12,female,adult
,2025-02-04 15:17:43,13,female,adult
,2025-02-04 15:22:05,1,female,adult
,2025-02-04 15:22:06,2,male,old
,2025-02-04 15:22:08,4,female,adult
,2025-02-04 15:22:09,5,female,adult
,2025-02-04 15:25:28,1,female,adult
,2025-02-04 15:25:29,2,male,old
,2025-02-04 15:25:31,4,female,adult
,2025-02-04 15:25:33,5,female,adult
,2025-02-04 15:26:05,1,female,adult
,2025-02-04 15:26:05,2,male,old
,2025-02-04 15:26:07,4,female,adult
,2025-02-04 15:26:09,5,female,adult
,2025-02-04 15:26:12,7,female,adult
,2025-02-04 15:26:17,9,male,adult
,2025-02-04 15:26:19,10,female,adult
,2025-02-04 15:30:07,1,female,adult
,2025-02-04 15:30:13,2,male,old
,2025-02-04 15:54:01,1,female,adult
,2025-02-04 15:54:03,2,male,old
,2025-02-04 15:54:04,4,female,adult
,2025-02-04 15:54:06,5,female,adult
,2025-02-04 16:24:07,1,female,adult
,2025-02-04 16:24:09,5,female,adult
